"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","9-Apr-2025","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=EDFA87B751F9430E85258C67005D0B2A","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall"
"Standard/Critical Control Point Inspection","7-Oct-2024","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A19A87346D75E17585258BAF005589A7","
3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.
-Observed crab salad with an expired date mark.
-Observed cooked rice with no date mark. Employees were unsure when the rice was made.
-PIC voluntarily discarded the food items. 
","

","Heritage Dining Hall"
"Standard/Critical Control Point Inspection","15-Apr-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E9CE6AFEFEC9F7C885258B000059A211","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall"
"Standard/Critical Control Point Inspection","24-Oct-2023","1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DC72BD27A2F5A46185258A52005AADBC","
3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests.
-Observed a few small flies by the soda machine in the dining area.
-Contact a licensed pest control company to abate the issue. 
","
 3717-1-03.2(Q) / Food storage - preventing contamination from the premises.  Corrected During Inspection Improper storage of food items.
-Observed two bags of onions on the floor in the kitchen.
-Observed boxes of food stored on the floor in the walk in freezer.
-PIC moved the bags of onions onto a service cart and instructed an employee to move the boxes of food in the walk in freezer to a shelf. 
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment. Repeat   Non-food contact surfaces of equipment are unclean.
-Observed old food build up on the base of the standing mixer.
-Clean the mixer to remove the build up. 
","Heritage Dining Hall"
"Standard/Critical Control Point Inspection","15-Mar-2023","0 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=81106BDB4DFA8BAE85258973006BBF6A","

","
3717-1-04.8(A) / Equipment and utensils - air-drying required.    Equipment and utensils are not being air dried.
-Observed smallware being stacked while wet.
-Ensure smallware is air dried before stacking. 
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment. Repeat   Non-food contact surfaces of equipment are unclean.
-Observed food build up on mixer.
-PIC reports the mixer was not used recently.
-Clean mixer to remove food build up. 
 3717-1-04.5(D) / Nonfood-contact surfaces - cleaning frequency.    Non-food contact surface(s) not cleaned at the required frequency.
-Observed food spilled on the floor of the walk in freezer.
-Clean the floor to remove the spillage. 
","Heritage Dining Hall"
"Consultation Inspection","15-Mar-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=572A7CD17690E5FE85258973006A0C56","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall"
"Standard Inspection","26-Oct-2022","3 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=6080822CA7B21481852588E7005BC7AA","
3717-1-02.2 (C ) / Hands and arms: when to washCritical    Food employee(s) did not wash hands when required.
-Observed an employee not wash their hands when they changed gloves. 
-Ensure employees know that they are required to wash their hands prior to donning and when changing gloves. 
 3717-1-04.4(L) / Mechanical warewashing equipment - hot water sanitization temperaturesCritical  Corrected During Inspection Hot water for mechanical sanitization is below required temperature.
-Observed the rinse cycle on the mechanical dish washing machine to only reach 100-101*F. 
-Do not use this machine until the rinse cycle can achieve 180*F. Use the 3 compartment sink until the unit is repaired.
-The PIC coached the employees not to use the machine, and a work order was put in for the machine. 
 3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical Repeat Corrected During Inspection Equipment food-contact surfaces or utensils are unclean.
-Observed old food debris on the can opener blade. 
-The can opener was taken to be cleaned during the inspection.  
","
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are unclean.
-Observed old food debris on the guard of the stand mixer. 
-Ensure all nonfood contact surfaces of the mixer are cleaned more frequently. 
","Heritage Dining Hall"
"Standard Inspection","5-May-2022","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2B5A5F39023BD8178525883900639B52","
3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical  Corrected During Inspection Equipment food-contact surfaces or utensils are unclean.
-Observed buildup on the blade of the can opener.
-PIC took the can opener to be cleaned during the inspection.  
","

","Heritage Dining Hall"
"Standard Inspection","12-Jan-2022","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=277EB5555C37885D852587C80070A7CF","
3717-1-03.4(F)(2) / Time/temperature controlled for safety food - cold holding of eggsCritical  Corrected During Inspection Raw shell eggs not maintained at 45° F or below. Observed eggs on top of box at 51-52*F with unknown timeframe for prepping on counter. Discussed with employee/PIC- facility voluntarily discarded eggs from top flat during inspection- rest of eggs moved to cooler due to temperature. 
","

","Heritage Dining Hall"
"Standard Inspection","20-Apr-2021","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F5369DCCE470181A852586BD006ADAF8","
3717-1-05.1(D) / Backflow prevention - air gap.Critical    Insufficient air gap for food prep sink. Observed an air break instead of air gap. An air gap between the water supply inlet and the flood level rim of the plumbing fixture, equipment, or nonfood equipment shall be at least twice the diameter of the water supply inlet and may not be less than one inch. Violation will be checked during next standard inspection. 
","

","Heritage Dining Hall"
"Standard Inspection","12-Aug-2020","0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=EF5F3A3275EE88AD852585C20055A718","

","
3717-1-05.1(C)(1) / Handwashing sink - required water temperature    Handwashing sink water below 100°F. Hot water not turned on/ working for handwashing sink by stove. Ensure hot water is functioning for hand washing sink.  
","Heritage Dining Hall"
"Standard Inspection","3-Oct-2019","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5796CACAAD10C1A68525849400729680","
3717-1-03.2(U) / Food display - preventing contamination by consumers.Critical  Corrected During Inspection Food display not properly protected from contamination by consumers.
-Observed bulk foods displayed without protection from consumers. Provide lids or sneeze guards. 
","
 3717-1-05.1(S) / Plumbing system - maintained in good repair.    Plumbing system not properly maintained or repaired.
-Observed hot water faucet not working in 3 compartment sink in meat room. 
","Heritage Dining Hall"
"Standard Inspection","24-Apr-2019","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7D9E457FD0E4D98E852583E600521E75","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall"
