"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","24-Jan-2025","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=9EC9EF5FDF43613385258C1C005BF064","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","5-Aug-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=71241926FD6EA8BD85258B700055A50F","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","3-Jan-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5E76A363D4CF19B185258A99005C0376","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","29-Jun-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B8513C3316570AF9852589DD0054F3CE","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
"Consultation Inspection","8-Jun-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FD2775B8A88A4ECD852589C8006BE770","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","17-Jan-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=18666FEA0C34B9298525893A00678872","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","11-Aug-2022","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=86E77ADDD604C5BB8525889B006B01FC","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","19-Jan-2022","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=883245A15DCBC95E852587CF00714CBF","
3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical Repeat Corrected During Inspection Chlorine sanitizing solution at incorrect temperature and/or concentration.
-Observed 0ppm on chlorine test strip upon testing dish machine.
-Sanitizing must occur manually in 3 compartment sink. 
","

","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","2-Sep-2021","2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=3A3F430B949866D2852587440059AEB1","
3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical    Dishwasher not sanitizing- concentration level 0 PPM on test strips. Do not use dishwasher until issue is resolved. Chlorine level shall be between 50-100 PPM.  
 3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical Repeat   Ready-to-eat, TCS food not properly discarded when required. Observed foods labeled from 8 days ago in prep cooler and walk in. Ensure that foods are discarded within the 7 day limit. Day one is the day opened/prepped. 
 
","

","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","21-Sep-2020","0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F9AE6576AAE7BB18852585EA006505EB","

","
3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Clean hummus blender non food contact areas of food debris and residue. Ensure that machine is cleaned thoroughly after each use.  
","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","4-Dec-2019","3 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A4401C3E5C526DAC852584C60074DE40","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical Repeat   TCS foods not being cold held at the proper temperature.CCP
-Observed cooked onions not held under temperature control.  Cooked vegetables are a TCS food that must be held hot or cold under temperature control. 
 3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.CCP
-Observed TCS foods(brown rice, jasmine rice/vegetable, loubie) with expired date mark not properly discarded. 
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical    Food contact surfaces not easily cleanable.CCP
-Observed damaged wood paddle used for food prep. 
","

","Aladdin's Eatery"
"Standard/Critical Control Point Inspection","19-Jun-2019","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B8B5967EAE00F80E8525841E0058E58E","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature.
-Observed cooked onions not held under temperature control. 
","

","Aladdin's Eatery"
"Follow-up Inspection","10-Dec-2018","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=91517CB2277D48628525835F00692A10","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery"
